Neighborhood,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,Heating,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,SaleCondition,SalePrice
NWAmes,1Story,6,1981,1981,GasA,Y,1422,0,1422,2,3,1,7,1,576,Normal,175500
Gilbert,2Story,6,1997,1997,GasA,Y,802,709,1511,2,3,1,8,1,413,Normal,185000
SWISU,2.5Fin,5,1939,1997,GasA,Y,1052,720,2192,2,4,1,8,1,240,Normal,179500
IDOTRR,1Story,5,1940,1955,GasA,Y,778,0,778,1,2,1,4,1,924,Normal,120500
Edwards,1Story,6,1976,1976,GasA,Y,1113,0,1113,1,3,1,6,1,504,Normal,148000
Somerst,2Story,8,2006,2006,GasA,Y,1095,844,1939,2,3,1,8,1,1053,Partial,266000
ClearCr,1Story,7,1954,2005,GasA,Y,1363,0,1363,1,2,1,5,2,439,Normal,241500
NoRidge,2Story,8,1999,2007,GasA,Y,1164,1106,2270,2,4,1,9,1,671,Normal,290000
NAmes,1Story,6,1958,1988,GasA,Y,1632,0,1632,2,3,1,6,1,338,Normal,139000
Mitchel,1Story,5,1982,1982,GasA,Y,816,0,816,1,2,1,5,0,264,Normal,124500
BrkSide,1.5Fin,7,1925,2007,GasW,N,952,596,1548,2,3,1,5,0,672,Normal,205000
Mitchel,1Story,7,2003,2003,GasA,Y,1560,0,1560,2,3,1,7,0,573,Normal,201000
Gilbert,1Story,4,1951,1951,GasA,Y,864,0,864,1,2,1,4,0,400,Normal,141000
NridgHt,1Story,9,2006,2007,GasA,Y,2121,0,2121,2,3,1,8,1,732,Partial,415298
ClearCr,2Story,7,1977,1977,GasA,Y,1156,866,2022,2,4,1,8,1,505,Normal,192000
SawyerW,2Story,7,1989,1989,GasA,Y,1175,807,1982,2,3,1,7,1,575,Normal,228500
Somerst,1Story,6,2006,2006,GasA,Y,1262,0,1262,2,2,1,5,0,572,Partial,185000
NridgHt,1Story,7,2007,2008,GasA,Y,1314,0,1314,2,2,1,6,1,626,Normal,207500
Somerst,1Story,8,2008,2009,GasA,Y,1468,0,1468,2,3,1,6,1,898,Partial,244600
SawyerW,1Story,6,1992,1992,GasA,Y,1575,0,1575,2,2,1,5,0,529,Normal,179200
Somerst,2Story,7,2006,2007,GasA,Y,625,625,1250,2,2,1,5,0,528,Partial,164700
NAmes,1.5Fin,6,1962,1981,GasA,Y,1085,649,1734,1,3,1,7,1,440,Normal,159000
NAmes,1Story,4,1971,1971,GasA,Y,858,0,858,1,3,1,5,0,0,Normal,88000
Sawyer,1Story,5,1967,1967,GasA,Y,900,0,900,1,3,1,5,0,280,Normal,122000
BrkSide,2Story,6,1915,2003,GasA,Y,698,698,1396,1,3,1,7,0,384,Normal,153575
CollgCr,2Story,8,2006,2006,GasA,Y,1079,840,1919,2,3,1,8,1,685,Partial,233230
SWISU,2Story,5,1912,2000,GasA,N,936,780,1716,2,6,1,9,0,0,Normal,135900
Edwards,1.5Fin,5,1949,2008,GasA,Y,1148,568,1716,1,3,1,8,1,281,Normal,131000
NWAmes,2Story,7,1977,1994,GasA,Y,1468,795,2263,2,3,1,9,1,539,Normal,235000
NAmes,1Story,6,1953,1953,GasA,Y,1644,0,1644,1,3,1,7,2,418,Normal,167000
Mitchel,SLvl,6,1984,1984,GasA,Y,1003,0,1003,1,3,1,6,0,588,Normal,142500
IDOTRR,1.5Fin,5,1950,1950,GasA,Y,910,648,1558,1,4,1,6,0,282,Normal,152000
Somerst,2Story,7,1997,1998,GasA,Y,975,975,1950,2,3,1,7,1,576,Normal,239000
NWAmes,2Story,6,1968,1968,GasA,Y,1041,702,1743,1,3,1,7,1,539,Normal,175000
Crawfor,1Story,6,1950,2004,GasA,Y,1152,0,1152,1,3,1,6,1,300,Family,158500
Crawfor,1Story,5,1953,1953,GasA,Y,1336,0,1336,1,2,1,5,2,375,Normal,157000
CollgCr,2Story,8,1998,1999,GasA,Y,1210,1242,2452,2,4,1,9,1,683,Normal,267000
CollgCr,1Story,7,2001,2002,GasA,Y,1541,0,1541,2,3,1,6,1,843,Normal,205000
CollgCr,1Story,5,1972,1972,GasA,Y,894,0,894,1,3,1,5,0,552,Abnorml,149900
OldTown,2.5Fin,7,1880,2002,GasA,Y,1675,1818,3493,3,3,1,10,1,870,Normal,295000
CollgCr,1Story,8,2004,2005,GasA,Y,2000,0,2000,2,3,1,8,0,888,Normal,305900
SawyerW,2Story,7,1990,1991,GasA,Y,1122,1121,2243,2,4,1,8,1,746,Normal,225000
IDOTRR,1.5Fin,6,1920,1950,GasA,Y,1035,371,1406,1,3,1,6,0,0,Normal,89500
Edwards,1Story,4,1940,1950,GasA,Y,861,0,861,1,1,1,4,0,539,Normal,82500
NridgHt,1Story,9,2003,2004,GasA,Y,1944,0,1944,2,3,1,8,3,708,Normal,360000
Gilbert,2Story,6,1993,1994,GasA,Y,697,804,1501,2,3,1,6,1,420,Normal,165600
NAmes,1Story,6,1948,2002,GasA,Y,972,0,972,1,2,1,5,1,240,Normal,132000
OldTown,1.5Fin,5,1939,1950,GasA,Y,793,325,1118,1,3,1,5,1,410,Normal,119900
Timber,1Story,7,1965,1965,GasW,Y,2036,0,2036,2,3,1,8,2,513,Normal,375000
OldTown,2Story,7,1925,1990,GasA,Y,832,809,1641,1,3,1,6,1,546,Normal,178000
Gilbert,2Story,7,2004,2005,GasA,Y,716,716,1432,2,3,1,6,1,432,Normal,188500
NWAmes,2Story,7,1980,1980,GasA,Y,1153,1200,2353,2,4,1,10,1,484,Normal,260000
Somerst,2Story,8,2006,2006,GasA,Y,1088,871,1959,2,3,1,8,1,1025,Normal,270000
NoRidge,2Story,7,1993,1993,GasA,Y,1372,1274,2646,2,4,1,9,1,656,Normal,260000
NWAmes,SLvl,7,1980,1980,GasA,Y,1472,0,1472,2,3,1,6,2,588,Normal,187500
NridgHt,2Story,9,2006,2006,GasA,Y,1249,1347,2596,3,4,1,9,0,840,Partial,342643
NridgHt,2Story,8,2004,2004,GasA,Y,1136,1332,2468,2,4,1,10,1,872,Normal,354000
SawyerW,2Story,7,1986,1987,GasA,Y,1553,1177,2730,2,4,1,8,1,576,Normal,301000
OldTown,1Story,3,1955,2005,GasA,Y,1163,0,1163,1,3,1,6,0,220,Normal,126175
NAmes,SLvl,7,1967,2007,GasA,Y,1898,1080,2978,2,5,1,11,1,564,Normal,242000
IDOTRR,1.5Unf,5,1941,1950,GasA,N,803,0,803,1,2,1,5,0,360,Normal,87000
Veenker,1Story,8,1993,1993,GasA,Y,1719,0,1719,1,1,1,6,2,473,Normal,324000
NAmes,1Story,6,1960,1960,GasA,Y,1383,0,1383,1,3,1,7,0,292,Normal,145250
BrkSide,2.5Unf,6,1916,1994,GasA,N,1445,689,2134,2,5,1,10,0,441,Normal,214500
IDOTRR,2Story,5,1920,1950,GasA,N,596,596,1192,1,3,1,6,0,189,Normal,78000
NAmes,1Story,5,1964,1964,GasA,Y,1728,0,1728,2,6,2,10,0,352,Normal,119000
NAmes,1Story,5,1958,1992,GasA,Y,1056,0,1056,1,3,1,6,0,308,Normal,139000
NridgHt,1Story,8,2003,2004,GasA,Y,1629,0,1629,2,3,1,7,1,880,Normal,284000
NridgHt,1Story,7,2004,2004,GasA,Y,1358,0,1358,2,2,1,6,1,484,Normal,207000
Gilbert,2Story,6,1998,1998,GasA,Y,943,695,1638,2,3,1,7,2,472,Normal,192000
Timber,1.5Fin,5,1965,1965,GasA,Y,1619,167,1786,2,3,1,7,2,529,Normal,228950
StoneBr,1Story,9,2005,2006,GasA,Y,1922,0,1922,2,3,1,8,1,676,Normal,377426
CollgCr,1Story,7,2002,2003,GasA,Y,1536,0,1536,2,3,1,7,0,532,Normal,214000
NWAmes,1Story,7,1984,1998,GasA,Y,1621,0,1621,2,3,1,8,0,440,Normal,202500
NAmes,1Story,6,1958,1998,GasA,Y,1215,0,1215,1,3,1,6,0,297,Normal,155000
Timber,2Story,8,2002,2002,GasA,Y,993,915,1908,2,4,1,9,0,431,Normal,202900
SawyerW,1Story,4,1950,1950,GasA,Y,841,0,841,1,2,1,4,0,294,Normal,82000
NAmes,1Story,3,1949,1950,Wall,N,1040,0,1040,2,2,2,6,0,400,Normal,87500
NridgHt,1Story,9,2005,2005,GasA,Y,1684,0,1684,2,2,1,6,1,564,Normal,266000
MeadowV,2Story,5,1976,1976,GasA,Y,536,576,1112,1,3,1,4,0,336,Normal,85000
BrkSide,1.5Fin,6,1939,1950,GasA,Y,972,605,1577,1,3,1,6,1,312,Normal,140200
NAmes,1Story,6,1960,1998,GasA,Y,958,0,958,1,2,1,5,0,301,Normal,151500
NAmes,1Story,6,1960,1960,GasA,Y,1478,0,1478,2,3,1,6,2,498,Normal,157500
NridgHt,2Story,7,2003,2004,GasA,Y,764,862,1626,2,2,1,6,0,474,Normal,154000
NridgHt,2Story,9,2005,2006,GasA,Y,1848,880,2728,2,4,1,10,2,706,Partial,437154
NridgHt,1Story,9,2007,2007,GasA,Y,1869,0,1869,2,2,1,6,1,617,Partial,318061
ClearCr,1Story,7,1986,1986,GasA,Y,1453,0,1453,1,2,1,6,1,445,Abnorml,190000
Edwards,1.5Fin,5,1941,1950,GasA,N,616,495,1111,1,3,1,5,0,200,Normal,95000
OldTown,1Story,6,1928,2003,GasA,Y,720,0,720,1,2,1,5,0,484,Normal,105900
SWISU,1.5Fin,6,1940,2000,GasA,Y,1192,403,1595,1,2,1,6,2,240,Normal,140000
CollgCr,1Story,6,1995,1995,GasA,Y,1200,0,1200,2,3,1,6,0,521,Normal,177500
Gilbert,1Story,6,1992,1992,GasA,Y,1167,0,1167,2,3,1,6,0,400,Normal,173000
MeadowV,1Story,5,1976,1976,GasA,Y,1142,0,1142,1,3,1,6,1,528,Normal,134000
ClearCr,SLvl,5,1958,1958,GasA,Y,1352,0,1352,1,3,1,6,0,288,Abnorml,130000
NoRidge,2Story,8,1998,1998,GasA,Y,1086,838,1924,2,3,1,7,1,592,Normal,280000
Mitchel,SFoyer,6,1978,1978,GasA,Y,912,0,912,1,2,1,5,1,470,Normal,156000
BrkSide,1.5Fin,5,1940,1982,GasA,Y,988,517,1505,1,3,1,8,0,240,Normal,145000
Edwards,SFoyer,7,2003,2003,GasA,Y,495,1427,1922,3,4,1,7,1,672,Normal,198500
BrDale,2Story,6,1972,2007,GasA,Y,483,504,987,1,2,1,5,0,264,Normal,118000
NWAmes,2Story,6,1976,1976,GasA,Y,790,784,1574,2,3,1,6,1,566,Normal,190000
IDOTRR,2Story,5,1920,1997,GasA,Y,672,672,1344,1,3,1,6,0,468,Normal,147000
NAmes,1Story,6,1963,1963,GasA,Y,1394,0,1394,1,3,1,6,2,514,Normal,159000
NAmes,SLvl,6,1962,1962,GasA,Y,1431,0,1431,1,3,1,6,1,296,Normal,165000
NAmes,1Story,5,1954,1954,GasA,Y,1268,0,1268,1,2,1,7,1,244,Normal,132000
NAmes,1Story,5,1959,2006,GasA,Y,1287,0,1287,1,3,1,7,1,576,Normal,162000
Gilbert,2Story,6,2000,2000,GasA,Y,953,711,1664,2,3,1,7,1,460,Normal,172400
ClearCr,1.5Fin,4,1959,1959,GasA,Y,1120,468,1588,2,4,1,7,1,680,Normal,134432
SawyerW,1Story,6,1984,1984,GasA,Y,752,0,752,1,2,1,4,0,264,Normal,125000
NAmes,1Story,5,1953,1953,GasA,Y,1319,0,1319,1,3,1,5,0,270,Normal,123000
CollgCr,2Story,7,2003,2004,GasA,Y,847,1081,1928,2,4,1,8,1,434,Normal,219500
Edwards,1Story,1,1922,1950,GasA,N,904,0,904,0,1,1,4,0,0,Normal,61000
CollgCr,SFoyer,5,1996,1996,GasA,Y,914,0,914,1,2,1,5,0,576,Normal,148000
Somerst,2Story,8,2004,2005,GasA,Y,1580,886,2466,3,4,1,8,1,610,Normal,340000
StoneBr,1Story,9,2010,2010,GasA,Y,1856,0,1856,1,1,1,8,1,834,Partial,394432
Gilbert,2Story,6,2000,2000,GasA,Y,1007,793,1800,2,3,1,7,1,463,Normal,179000
SWISU,1.5Fin,5,1924,1950,GasA,Y,1026,665,1691,2,3,1,6,1,308,Normal,127000
Somerst,1Story,7,2006,2006,GasA,Y,1301,0,1301,2,2,1,5,1,572,Partial,187750
CollgCr,2Story,7,2006,2006,GasA,Y,939,858,1797,2,3,1,8,0,639,Normal,213500
SawyerW,1.5Unf,6,1928,1950,GasA,N,784,0,784,1,2,1,5,0,360,Normal,76000
ClearCr,2Story,6,1992,1992,GasA,Y,1079,874,1953,2,3,1,9,2,501,Normal,240000
Blmngtn,1Story,8,2004,2005,GasA,Y,1269,0,1269,2,2,1,6,1,430,Normal,192000
Edwards,1.5Fin,5,1910,1996,GasA,Y,658,526,1184,1,5,1,8,0,0,AdjLand,81000
Edwards,SLvl,6,1976,1976,GasA,Y,1125,0,1125,1,3,1,6,1,352,Abnorml,125000
CollgCr,1Story,7,1999,2000,GasA,Y,1479,0,1479,2,3,1,6,0,577,Normal,191000
NridgHt,2Story,10,2007,2008,GasA,Y,1742,590,2332,2,3,1,9,1,846,Partial,426000
Edwards,1.5Fin,5,1900,1950,GasA,Y,961,406,1367,1,4,1,7,0,384,Normal,119000
Mitchel,2Story,6,2001,2002,GasA,Y,804,1157,1961,2,3,1,7,1,560,Normal,215000
NAmes,1Story,5,1959,1959,GasA,Y,882,0,882,1,3,1,5,0,294,Normal,106500
BrkSide,1Story,4,1941,1950,GasA,Y,788,0,788,1,2,1,4,2,0,Abnorml,100000
OldTown,1.5Fin,5,1940,1950,GasA,Y,735,299,1034,1,2,1,5,0,240,Normal,109000
Edwards,1Story,5,1956,1956,GasA,Y,1144,0,1144,1,3,1,6,0,596,Normal,129000
CollgCr,1Story,5,1972,1972,GasA,Y,894,0,894,1,2,1,6,0,600,Normal,123000
NAmes,2Story,5,1962,1962,GasA,Y,876,936,1812,2,4,1,8,1,264,Normal,169500
IDOTRR,1Story,5,1920,1950,GasA,Y,1077,0,1077,1,2,1,6,0,338,Abnorml,67000
Somerst,2Story,7,2006,2007,GasA,Y,1112,438,1550,2,2,1,7,0,438,Normal,241000
Veenker,1Story,8,1996,1996,GasA,Y,1288,0,1288,1,1,1,4,2,500,Normal,245500
CollgCr,1Story,7,2005,2005,GasA,Y,1310,0,1310,2,3,1,6,1,400,Partial,164990
Sawyer,1Story,5,1940,1997,GasA,Y,672,0,672,1,2,1,4,0,240,Normal,108000
NoRidge,2Story,8,1998,1998,GasA,Y,1165,1098,2263,2,4,1,10,1,420,Abnorml,258000
Gilbert,2Story,6,1995,1996,GasA,Y,806,766,1572,2,3,1,7,1,373,Normal,168000
Sawyer,1Story,4,1976,1993,GasA,Y,1620,0,1620,2,3,1,8,1,490,Normal,150000
SWISU,1.5Fin,6,1936,1950,GasA,Y,1166,0,1639,1,3,1,6,0,240,Normal,115000
Crawfor,2Story,6,1915,1976,GasA,Y,840,840,1680,2,4,1,8,0,308,Normal,177000
NridgHt,2Story,7,2006,2006,GasA,Y,1071,1101,2172,2,3,1,9,1,947,Partial,280000
Somerst,2Story,8,2007,2008,GasA,Y,1050,1028,2078,2,3,1,8,1,836,Partial,339750
Edwards,1Story,5,1958,1958,GasA,Y,1276,0,1276,1,3,1,5,0,350,Abnorml,60000
Gilbert,1Story,5,1955,1955,GasA,N,1056,0,1056,1,3,1,5,0,572,Normal,145000
Somerst,1Story,7,2009,2009,GasA,Y,1478,0,1478,2,2,1,7,1,484,Partial,222000
OldTown,1Story,5,1927,1950,GasA,Y,1028,0,1028,1,2,1,5,1,360,Normal,115000
SawyerW,2Story,7,1993,1993,GasA,Y,1080,1017,2097,2,3,1,9,1,678,Normal,228000
Gilbert,1Story,7,2007,2007,GasA,Y,1340,0,1340,2,3,1,6,0,396,Partial,181134
Sawyer,2Story,6,1978,1978,GasA,Y,672,728,1400,1,3,1,6,1,440,Normal,149500
Crawfor,2Story,6,1918,1950,GasW,N,1370,1254,2624,2,4,1,10,1,864,Normal,239000
Edwards,1.5Fin,5,1940,1950,GasA,N,756,378,1134,1,3,1,7,0,240,AdjLand,126000
NAmes,1Story,5,1968,1968,GasA,Y,1056,0,1056,1,3,1,6,1,304,Normal,142000
Mitchel,SFoyer,7,1997,1998,GasA,Y,1344,0,1344,2,2,2,8,0,784,Alloca,206300
NWAmes,1Story,6,1977,2000,GasA,Y,1602,0,1602,2,3,1,8,1,529,Normal,215000
Mitchel,1Story,5,1954,1954,GasA,Y,988,0,988,1,2,1,4,0,520,Normal,113000
NoRidge,2Story,8,1998,1998,GasA,Y,1470,1160,2630,2,4,1,8,1,696,Normal,315000
NAmes,1Story,6,1956,1956,GasA,Y,1196,0,1196,1,2,1,6,1,297,Normal,139000
OldTown,2Story,7,1946,1992,GasA,Y,707,682,1389,1,3,1,6,2,240,Normal,135000
SawyerW,SLvl,7,1989,1989,GasA,Y,1644,0,1644,2,2,1,5,1,569,Normal,275000
NAmes,1Story,4,1957,1957,GasA,Y,907,0,907,1,3,1,5,0,352,Normal,109008
CollgCr,1Story,7,2007,2007,GasA,Y,1208,0,1208,2,2,1,6,0,628,Partial,195400
Timber,1Story,6,1988,1988,GasA,Y,1412,0,1412,2,3,1,6,1,576,Normal,175000
BrDale,2Story,6,1971,1971,GasA,Y,483,504,987,1,2,1,4,0,264,Abnorml,85400
OldTown,1.5Fin,6,1920,1998,GasA,Y,1088,110,1198,1,4,1,7,0,0,Abnorml,79900
BrDale,2Story,5,1971,1971,GasA,Y,765,600,1365,1,2,1,6,0,440,Normal,122500
Gilbert,2Story,6,1997,1998,GasA,Y,926,678,1604,2,3,1,7,1,470,Normal,181000
MeadowV,SFoyer,4,1972,1972,GasA,Y,630,0,630,1,1,1,3,0,0,Normal,81000
CollgCr,2Story,7,1996,1996,GasA,Y,827,834,1661,2,3,1,6,1,550,Normal,212000
OldTown,1.5Fin,6,1920,1950,GasA,Y,734,384,1118,1,2,1,6,0,440,Normal,116000
BrkSide,1.5Unf,6,1926,2004,GasA,Y,904,0,904,1,2,1,4,0,180,Normal,119000
Crawfor,1Story,5,1913,2002,GasA,N,694,0,694,1,2,1,4,1,352,Normal,90350
Edwards,1.5Fin,6,1920,2000,GasA,Y,684,512,1196,1,3,1,7,0,528,Normal,110000
NridgHt,1Story,10,2008,2008,GasA,Y,2402,0,2402,2,2,1,10,2,672,Normal,555000
Edwards,1Story,4,1955,1955,GasA,N,1440,0,1440,2,4,2,8,0,0,Normal,118000
BrkSide,1.5Fin,5,1930,1992,GasA,Y,1128,445,1573,2,3,1,8,1,360,Normal,162900
Blmngtn,1Story,7,2006,2007,GasA,Y,1258,0,1258,2,2,1,6,1,648,Partial,172500
CollgCr,2Story,7,1994,1995,GasA,Y,933,975,1908,2,4,1,8,1,493,Normal,210000
Edwards,1Story,6,1956,1956,GasA,Y,1689,0,1689,1,3,1,7,1,480,Normal,127500
NAmes,1Story,6,1966,2002,GasA,Y,1888,0,1888,2,2,1,6,1,578,Normal,190000
Gilbert,2Story,7,1998,1999,GasA,Y,956,930,1886,2,4,1,10,1,431,Normal,199900
IDOTRR,1.5Fin,6,1937,1950,GasA,Y,780,596,1376,2,3,1,7,1,198,Normal,119500
OldTown,1.5Fin,3,1948,2002,GasA,Y,679,504,1183,1,2,1,6,0,308,Normal,120000
OldTown,1Story,6,1930,2005,GasA,Y,813,0,813,1,2,1,5,0,270,Normal,110000
ClearCr,1Story,7,1975,1975,GasA,Y,1533,0,1533,2,2,1,5,2,576,Normal,280000
Timber,2Story,6,1996,1997,GasA,Y,888,868,1756,2,3,1,7,0,422,Normal,204000
Somerst,2Story,8,2008,2008,GasA,Y,786,804,1590,2,3,1,6,0,676,Normal,210000
Mitchel,1Story,5,1976,1976,GasA,Y,1728,0,1728,2,4,2,8,0,560,Family,188000
NWAmes,1Story,7,1973,1973,GasA,Y,1242,0,1242,1,3,1,6,1,528,Normal,175500
OldTown,2Story,5,1916,1950,GasA,N,624,720,1344,1,4,1,7,0,513,Abnorml,98000
ClearCr,1Story,4,1954,1994,GasA,Y,1663,0,1663,1,2,1,6,2,529,Normal,256000
OldTown,2Story,8,1925,1996,GasA,Y,833,833,1666,1,3,1,7,1,228,Normal,161000
BrkSide,1.5Fin,5,1950,1950,GasA,Y,979,224,1203,1,3,1,5,1,352,Normal,110000
Somerst,2Story,8,2009,2009,GasA,Y,832,1103,1935,2,3,1,8,0,552,Partial,263435
SWISU,2Story,7,1936,2007,GasA,Y,575,560,1135,1,3,1,6,0,576,Normal,155000
Sawyer,1Story,5,1965,1965,GasA,Y,864,0,864,1,3,1,5,1,360,Normal,62383
Crawfor,2Story,6,1934,1995,GasA,Y,849,811,1660,1,3,1,6,1,240,Normal,188700
CollgCr,1Story,5,1978,1978,GasA,Y,1040,0,1040,2,3,1,5,0,0,Normal,124000
Blmngtn,1Story,7,2004,2004,GasA,Y,1414,0,1414,2,2,1,6,1,398,Normal,178740
NAmes,1Story,7,1970,1970,GasA,Y,1277,0,1277,1,2,1,5,1,526,Normal,167000
NAmes,2Story,5,1942,1995,GasA,Y,888,756,1644,1,3,1,7,2,312,Normal,146500
NridgHt,1Story,8,2006,2006,GasA,Y,1634,0,1634,2,3,1,7,1,866,Normal,250000
SawyerW,2Story,6,1993,1993,GasA,Y,832,878,1710,2,3,1,7,0,506,Normal,187000
StoneBr,1Story,8,1985,1985,GasA,Y,1502,0,1502,1,1,1,4,0,528,Normal,212000
NWAmes,2Story,7,1977,1977,GasA,Y,1161,808,1969,2,3,1,8,1,534,Normal,190000
Edwards,SLvl,6,2005,2005,GasA,Y,1072,0,1072,1,2,1,5,0,525,Normal,148000
NridgHt,1Story,8,2006,2007,GasA,Y,1976,0,1976,2,2,1,7,1,908,Partial,440000
StoneBr,1Story,8,2000,2000,GasA,Y,1652,0,1652,2,2,1,6,0,499,Normal,251000
Sawyer,1Story,5,1963,1963,GasA,Y,970,0,970,1,2,1,5,0,624,Normal,132500
CollgCr,1Story,6,1997,1998,GasA,Y,1493,0,1493,2,3,1,7,1,508,Normal,208900
NridgHt,2Story,9,2006,2006,GasA,Y,2069,574,2643,2,3,1,9,1,694,Normal,380000
CollgCr,1Story,8,2007,2008,GasA,Y,1718,0,1718,2,3,1,7,1,826,Normal,297000
OldTown,1Story,4,1937,2000,GasA,Y,1131,0,1131,1,2,1,7,0,672,Alloca,89471
NridgHt,1Story,9,2004,2005,GasA,Y,1850,0,1850,2,3,1,8,1,772,Normal,326000
NridgHt,1Story,9,2003,2004,GasA,Y,1792,0,1792,2,2,1,6,1,874,Normal,374000
OldTown,2Story,7,1915,2005,GasA,Y,916,910,1826,1,4,1,7,1,164,Normal,155000
Mitchel,1Story,6,1998,1998,GasA,Y,1216,0,1216,2,2,1,5,0,402,Normal,164000
Sawyer,1Story,5,1962,2001,GasA,Y,999,0,999,1,3,1,6,0,264,Normal,132500
NAmes,1Story,5,1950,2007,GasA,Y,1113,0,1113,1,3,1,5,1,264,Normal,147000
NAmes,1Story,5,1965,1965,GasA,Y,1073,0,1073,1,3,1,6,0,515,Normal,156000
NWAmes,1Story,5,1971,1971,GasA,Y,1484,0,1484,2,3,1,7,1,487,Normal,175000
OldTown,1.5Fin,5,1900,1970,GasA,N,1766,648,2414,2,3,2,10,1,520,Normal,160000
MeadowV,SFoyer,4,1970,2002,GasA,Y,630,0,630,1,1,1,3,0,286,Normal,86000
MeadowV,2Story,5,1976,1976,GasA,Y,616,688,1304,1,3,1,4,1,336,Normal,115000
NAmes,1.5Fin,6,1941,1950,GasA,Y,958,620,1578,1,3,1,5,2,240,Normal,133000
Gilbert,2Story,6,2006,2006,GasA,Y,728,728,1456,2,3,1,8,0,429,Partial,172785
NAmes,1Story,5,1960,1960,GasA,Y,1269,0,1269,1,3,1,6,1,308,Normal,155000
OldTown,1Story,5,1938,1996,GasA,Y,886,0,886,1,2,1,4,0,273,Normal,91300
IDOTRR,1Story,4,1920,1950,GasA,N,720,0,720,1,2,1,4,0,0,Abnorml,34900
NoRidge,1Story,8,1992,1993,GasA,Y,3228,0,3228,3,4,1,10,1,546,Normal,430000
BrkSide,1.5Fin,7,1925,1950,GasA,Y,1133,687,1820,2,4,1,8,0,240,Normal,184000
Sawyer,1Story,5,1967,2004,GasA,Y,899,0,899,1,3,1,5,0,288,Normal,130000
NAmes,1Story,5,1958,1985,GasA,Y,912,0,912,1,2,1,5,0,297,Normal,120000
BrDale,2Story,6,1973,1973,GasA,Y,672,546,1218,1,3,1,7,0,264,Normal,113000
Somerst,2Story,7,2005,2005,GasA,Y,866,902,1768,2,3,1,7,0,603,Normal,226700
Edwards,1Story,5,1965,1965,GasA,Y,1214,0,1214,1,2,1,6,0,461,Normal,140000
Crawfor,1Story,7,1959,1997,GasA,Y,1801,0,1801,2,1,1,6,2,484,Normal,289000
NPkVill,2Story,6,1974,1974,GasA,Y,855,467,1322,2,3,1,6,1,440,Normal,147000
OldTown,2Story,5,1952,1952,GasA,Y,960,1000,1960,2,4,2,10,0,400,Normal,124500
SawyerW,2Story,8,1993,1994,GasA,Y,1065,846,1911,2,3,1,8,1,471,Normal,215000
Somerst,1Story,6,2009,2009,GasA,Y,1218,0,1218,2,2,1,4,0,676,Partial,208300
OldTown,2Story,7,1928,2005,GasA,Y,689,689,1378,2,3,1,7,1,360,Normal,161000
NAmes,1Story,5,1959,1959,GasA,Y,1041,0,1041,1,3,1,6,0,270,Normal,124500
NAmes,1Story,5,1951,2000,GasA,Y,1363,0,1363,1,2,1,6,2,288,Normal,164900
NridgHt,1Story,7,2005,2006,GasA,Y,1368,0,1368,2,2,1,6,1,474,Partial,202665
NAmes,1Story,5,1958,1958,GasA,Y,864,0,864,1,3,1,5,0,624,Normal,129900
Mitchel,1Story,6,1983,1983,GasA,Y,1080,0,1080,1,3,1,5,0,484,Normal,134000
Crawfor,1.5Unf,5,1926,1950,Grav,N,789,0,789,1,2,1,5,0,200,Normal,96500
NridgHt,1Story,10,2009,2009,GasA,Y,2020,0,2020,2,3,1,9,1,900,Partial,402861
NWAmes,SLvl,6,1972,1972,GasA,Y,1378,741,2119,2,3,1,7,1,583,Abnorml,158000
NoRidge,2Story,7,1996,1997,GasA,Y,1277,1067,2344,2,3,1,7,1,889,Normal,265000
CollgCr,2Story,6,1998,1998,GasA,Y,882,914,1796,2,3,1,7,0,546,Normal,211000
Crawfor,2Story,7,1926,2004,GasA,Y,1276,804,2080,1,3,1,9,2,282,Normal,234000
OldTown,2Story,4,1900,2000,GasA,N,694,600,1294,2,3,2,7,0,0,Normal,106250
NAmes,1Story,6,1957,1957,GasA,Y,1244,0,1244,1,3,1,6,2,336,Normal,150000
BrkSide,1.5Fin,6,1947,1950,GasA,Y,1004,660,1664,2,3,1,7,2,420,Normal,159000
Edwards,2Story,10,2007,2008,GasA,Y,3138,1538,4676,3,3,1,11,1,884,Partial,184750
NoRidge,2Story,7,1996,1997,GasA,Y,1383,1015,2398,2,3,1,8,1,834,Normal,315750
Somerst,1Story,7,2005,2005,GasA,Y,1266,0,1266,2,3,1,6,1,453,Normal,176000
NAmes,1Story,5,1956,2000,GasA,Y,928,0,928,1,2,1,4,0,252,Normal,132000
NridgHt,2Story,9,2008,2008,GasA,Y,1476,1237,2713,2,3,1,11,1,858,Partial,446261
Edwards,1Story,4,1920,2002,GasA,Y,605,0,605,1,2,1,5,0,0,Normal,86000
Crawfor,1Story,6,1957,1975,GasA,Y,2515,0,2515,3,4,2,9,2,484,Alloca,200624
Timber,SLvl,6,1988,1989,GasA,Y,1509,0,1509,2,3,1,5,1,600,Abnorml,175000
BrkSide,2Story,6,1920,1999,GasA,Y,751,611,1362,2,3,1,6,0,502,Normal,128000
NAmes,1Story,5,1955,2007,GasA,Y,827,0,827,1,2,1,5,1,392,Normal,107500
